Rank,Team,GP,TI,INT,TKL,TA,GK,F,FK,OG,Confederation,Stage,def_actions_per_match,tackle_success_pct,fouls_per_match,interceptions_per_match
1,Argentina,8,128,57,93,108,52,111,106,0,CONMEBOL,Knockout,18.75,86.11111111111111,13.875,7.125
2,France,8,108,59,90,104,53,81,76,0,UEFA,Knockout,18.625,86.53846153846153,10.125,7.375
3,Paraguay,5,92,47,86,104,57,65,61,0,CONMEBOL,Knockout,26.6,82.6923076923077,13.0,9.4
4,England,8,132,54,78,84,58,79,111,0,UEFA,Knockout,16.5,92.85714285714286,9.875,6.75
5,Spain,8,136,68,74,86,45,101,93,0,UEFA,Knockout,17.75,86.04651162790698,12.625,8.5
6,Morocco,6,105,39,68,79,36,73,95,0,CAF,Knockout,17.833333333333332,86.07594936708861,12.166666666666666,6.5
7,Brazil,5,75,43,56,78,22,51,55,0,CONMEBOL,Knockout,19.8,71.7948717948718,10.2,8.6
8,Switzerland,6,114,26,55,67,54,88,88,0,UEFA,Knockout,13.5,82.08955223880596,14.666666666666666,4.333333333333333
9,Belgium,6,112,47,54,60,39,78,69,0,UEFA,Knockout,16.833333333333332,90.0,13.0,7.833333333333333
10,Norway,6,113,38,54,64,60,56,48,0,UEFA,Knockout,15.333333333333334,84.375,9.333333333333334,6.333333333333333
11,Ecuador,4,71,25,52,61,35,49,38,0,CONMEBOL,Knockout,19.25,85.24590163934427,12.25,6.25
12,Canada,5,125,31,50,56,19,70,73,0,CONCACAF,Knockout,16.2,89.28571428571429,14.0,6.2
13,Egypt,5,100,34,49,61,48,58,71,0,CAF,Knockout,16.6,80.32786885245902,11.6,6.8
14,Ivory Coast,4,73,28,48,53,27,29,33,0,CAF,Knockout,19.0,90.56603773584905,7.25,7.0
15,Ghana,4,58,22,45,51,39,56,48,0,CAF,Knockout,16.75,88.23529411764706,14.0,5.5
16,United States,5,115,37,45,55,30,55,69,0,CONCACAF,Knockout,16.4,81.81818181818181,11.0,7.4
17,Germany,4,75,15,44,54,17,49,45,0,UEFA,Knockout,14.75,81.48148148148148,12.25,3.75
18,Portugal,5,75,35,44,57,34,44,60,0,UEFA,Knockout,15.8,77.19298245614036,8.8,7.0
19,South Africa,4,50,40,44,51,44,38,47,0,CAF,Knockout,21.0,86.27450980392157,9.5,10.0
20,Algeria,4,67,26,41,48,23,29,41,0,CAF,Knockout,16.75,85.41666666666667,7.25,6.5
21,Turkiye,3,85,12,41,43,14,32,39,0,UEFA,Group,17.666666666666668,95.34883720930233,10.666666666666666,4.0
22,Bosnia and Herzegovina,4,68,25,40,44,37,59,39,0,UEFA,Knockout,16.25,90.9090909090909,14.75,6.25
23,Iraq,3,46,15,40,45,44,27,31,0,AFC,Group,18.333333333333332,88.88888888888889,9.0,5.0
24,Japan,4,69,21,40,49,30,55,30,0,AFC,Knockout,15.25,81.63265306122449,13.75,5.25
25,Australia,4,82,19,39,48,41,46,39,0,AFC,Knockout,14.5,81.25,11.5,4.75
26,Saudi Arabia,3,58,16,39,47,39,29,26,0,AFC,Group,18.333333333333332,82.97872340425532,9.666666666666666,5.333333333333333
27,Austria,4,60,26,38,51,21,46,30,0,UEFA,Knockout,16.0,74.50980392156863,11.5,6.5
28,Tunisia,3,59,25,38,45,24,27,33,0,CAF,Group,21.0,84.44444444444444,9.0,8.333333333333334
29,Colombia,5,80,23,37,41,52,70,67,0,CONMEBOL,Knockout,12.0,90.2439024390244,14.0,4.6
30,Iran,3,49,23,37,41,27,35,25,0,AFC,Group,20.0,90.2439024390244,11.666666666666666,7.666666666666667
31,Cape Verde,4,73,30,36,42,41,27,50,0,CAF,Knockout,16.5,85.71428571428571,6.75,7.5
32,DR Congo,4,85,15,36,48,42,44,45,0,CAF,Knockout,12.75,75.0,11.0,3.75
33,Curacao,3,42,29,34,42,31,31,28,0,CONCACAF,Group,21.0,80.95238095238095,10.333333333333334,9.666666666666666
34,Sweden,4,67,15,34,38,29,42,51,0,UEFA,Knockout,12.25,89.47368421052632,10.5,3.75
35,Croatia,4,57,18,33,44,36,43,46,0,UEFA,Knockout,12.75,75.0,10.75,4.5
36,Mexico,5,99,26,33,38,37,57,48,0,CONCACAF,Knockout,11.8,86.84210526315789,11.4,5.2
37,Senegal,4,82,23,32,40,25,35,51,0,CAF,Knockout,13.75,80.0,8.75,5.75
38,Uruguay,3,69,26,31,40,14,31,29,0,CONMEBOL,Group,19.0,77.5,10.333333333333334,8.666666666666666
39,Jordan,3,51,26,30,40,27,29,25,0,AFC,Group,18.666666666666668,75.0,9.666666666666666,8.666666666666666
40,Uzbekistan,3,59,21,30,38,30,44,31,0,AFC,Group,17.0,78.94736842105263,14.666666666666666,7.0
41,Haiti,3,38,18,28,33,20,56,43,0,CONCACAF,Group,15.333333333333334,84.84848484848484,18.666666666666668,6.0
42,Netherlands,4,75,20,28,34,35,44,44,0,UEFA,Knockout,12.0,82.3529411764706,11.0,5.0
43,Panama,3,61,14,25,30,29,46,33,0,CONCACAF,Group,13.0,83.33333333333333,15.333333333333334,4.666666666666667
44,Qatar,3,41,14,21,28,36,35,29,0,AFC,Group,11.666666666666666,75.0,11.666666666666666,4.666666666666667
45,Czechia,3,51,16,20,22,26,36,33,0,UEFA,Group,12.0,90.9090909090909,12.0,5.333333333333333
46,New Zealand,3,53,15,20,26,31,32,24,0,OFC,Group,11.666666666666666,76.92307692307692,10.666666666666666,5.0
47,Scotland,3,49,14,19,21,31,42,41,0,UEFA,Group,11.0,90.47619047619048,14.0,4.666666666666667
48,South Korea,3,70,14,19,22,16,25,33,0,AFC,Group,11.0,86.36363636363636,8.333333333333334,4.666666666666667
